; ------------------------------------------------
; |       SCELBI'S GALAXY GAME       |
; |           FOR THE 8080           |
; ------------------------------------------------
+ Print Program Bytes and description.
++ Address:16-bit bytes       databyte :hex:oct > description
++     913:00000011 10010001: 01001111 : 4F:117 > databyte:  : O : 79
++     914:00000011 10010010: 01011001 : 59:131 > databyte:  : Y : 89
++     915:00000011 10010011: 01000101 : 45:105 > databyte:  : E : 69
++     916:00000011 10010100: 01000100 : 44:104 > databyte:  : D : 68
++     917:00000011 10010101: 00000000 : 00:000 > dbbyte: 0
++     918:00000011 10010110: 00001101 : 0D:015 > dbbyte: 13
++     919:00000011 10010111: 00001010 : 0A:012 > dbbyte: 10
++     920:00000011 10011000: 01011001 : 59:131 > databyte:  : Y : 89
++     921:00000011 10011001: 01001111 : 4F:117 > databyte:  : O : 79
++     922:00000011 10011010: 01010101 : 55:125 > databyte:  : U : 85
++     923:00000011 10011011: 00100000 : 20:040 > databyte:  :   : 32
++     924:00000011 10011100: 01001101 : 4D:115 > databyte:  : M : 77
++     925:00000011 10011101: 01001001 : 49:111 > databyte:  : I : 73
++     926:00000011 10011110: 01010011 : 53:123 > databyte:  : S : 83
++     927:00000011 10011111: 01010011 : 53:123 > databyte:  : S : 83
++     928:00000011 10100000: 01000101 : 45:105 > databyte:  : E : 69
++     929:00000011 10100001: 01000100 : 44:104 > databyte:  : D : 68
++     930:00000011 10100010: 00100001 : 21:041 > databyte:  : ! : 33
++     931:00000011 10100011: 00100000 : 20:040 > databyte:  :   : 32
++     932:00000011 10100100: 01000001 : 41:101 > databyte:  : A : 65
++     933:00000011 10100101: 01001100 : 4C:114 > databyte:  : L : 76
++     934:00000011 10100110: 01001001 : 49:111 > databyte:  : I : 73
++     935:00000011 10100111: 01000101 : 45:105 > databyte:  : E : 69
++     936:00000011 10101000: 01001110 : 4E:116 > databyte:  : N : 78
++     937:00000011 10101001: 00100000 : 20:040 > databyte:  :   : 32
++     938:00000011 10101010: 01010011 : 53:123 > databyte:  : S : 83
++     939:00000011 10101011: 01001000 : 48:110 > databyte:  : H : 72
++     940:00000011 10101100: 01001001 : 49:111 > databyte:  : I : 73
++     941:00000011 10101101: 01010000 : 50:120 > databyte:  : P : 80
++     942:00000011 10101110: 00100000 : 20:040 > databyte:  :   : 32
++     943:00000011 10101111: 01010010 : 52:122 > databyte:  : R : 82
++     944:00000011 10110000: 01000101 : 45:105 > databyte:  : E : 69
++     945:00000011 10110001: 01010100 : 54:124 > databyte:  : T : 84
++     946:00000011 10110010: 01000001 : 41:101 > databyte:  : A : 65
++     947:00000011 10110011: 01001100 : 4C:114 > databyte:  : L : 76
++     948:00000011 10110100: 01001001 : 49:111 > databyte:  : I : 73
++     949:00000011 10110101: 01000001 : 41:101 > databyte:  : A : 65
++     950:00000011 10110110: 01010100 : 54:124 > databyte:  : T : 84
++     951:00000011 10110111: 01000101 : 45:105 > databyte:  : E : 69
++     952:00000011 10111000: 01010011 : 53:123 > databyte:  : S : 83
++     953:00000011 10111001: 00000000 : 00:000 > dbbyte: 0
++     954:00000011 10111010: 00001101 : 0D:015 > dbbyte: 13
++     955:00000011 10111011: 00001010 : 0A:012 > dbbyte: 10
++     956:00000011 10111100: 01010011 : 53:123 > databyte:  : S : 83
++     957:00000011 10111101: 01010000 : 50:120 > databyte:  : P : 80
++     958:00000011 10111110: 01000001 : 41:101 > databyte:  : A : 65
++     959:00000011 10111111: 01000011 : 43:103 > databyte:  : C : 67
++     960:00000011 11000000: 01000101 : 45:105 > databyte:  : E : 69
++     961:00000011 11000001: 00100000 : 20:040 > databyte:  :   : 32
++     962:00000011 11000010: 01010011 : 53:123 > databyte:  : S : 83
++     963:00000011 11000011: 01010100 : 54:124 > databyte:  : T : 84
++     964:00000011 11000100: 01000001 : 41:101 > databyte:  : A : 65
++     965:00000011 11000101: 01010100 : 54:124 > databyte:  : T : 84
++     966:00000011 11000110: 01001001 : 49:111 > databyte:  : I : 73
++     967:00000011 11000111: 01001111 : 4F:117 > databyte:  : O : 79
++     968:00000011 11001000: 01001110 : 4E:116 > databyte:  : N : 78
++     969:00000011 11001001: 00100000 : 20:040 > databyte:  :   : 32
++     970:00000011 11001010: 01000100 : 44:104 > databyte:  : D : 68
++     971:00000011 11001011: 01000101 : 45:105 > databyte:  : E : 69
++     972:00000011 11001100: 01010011 : 53:123 > databyte:  : S : 83
++     973:00000011 11001101: 01010100 : 54:124 > databyte:  : T : 84
++     974:00000011 11001110: 01010010 : 52:122 > databyte:  : R : 82
++     975:00000011 11001111: 01001111 : 4F:117 > databyte:  : O : 79
++     976:00000011 11010000: 01011001 : 59:131 > databyte:  : Y : 89
++     977:00000011 11010001: 01000101 : 45:105 > databyte:  : E : 69
++     978:00000011 11010010: 01000100 : 44:104 > databyte:  : D : 68
++     979:00000011 11010011: 00000000 : 00:000 > dbbyte: 0
++     980:00000011 11010100: 00001101 : 0D:015 > dbbyte: 13
++     981:00000011 11010101: 00001010 : 0A:012 > dbbyte: 10
++     982:00000011 11010110: 01000011 : 43:103 > databyte:  : C : 67
++     983:00000011 11010111: 01001111 : 4F:117 > databyte:  : O : 79
++     984:00000011 11011000: 01001110 : 4E:116 > databyte:  : N : 78
++     985:00000011 11011001: 01000111 : 47:107 > databyte:  : G : 71
++     986:00000011 11011010: 01010010 : 52:122 > databyte:  : R : 82
++     987:00000011 11011011: 01000001 : 41:101 > databyte:  : A : 65
++     988:00000011 11011100: 01010100 : 54:124 > databyte:  : T : 84
++     989:00000011 11011101: 01010101 : 55:125 > databyte:  : U : 85
++     990:00000011 11011110: 01001100 : 4C:114 > databyte:  : L : 76
++     991:00000011 11011111: 01000001 : 41:101 > databyte:  : A : 65
++     992:00000011 11100000: 01010100 : 54:124 > databyte:  : T : 84
++     993:00000011 11100001: 01001001 : 49:111 > databyte:  : I : 73
++     994:00000011 11100010: 01001111 : 4F:117 > databyte:  : O : 79
++     995:00000011 11100011: 01001110 : 4E:116 > databyte:  : N : 78
++     996:00000011 11100100: 01010011 : 53:123 > databyte:  : S : 83
++     997:00000011 11100101: 00101100 : 2C:054 > databyte:  : , : 44
++     998:00000011 11100110: 00100000 : 20:040 > databyte:  :   : 32
++     999:00000011 11100111: 01011001 : 59:131 > databyte:  : Y : 89
++    1000:00000011 11101000: 01001111 : 4F:117 > databyte:  : O : 79
++    1001:00000011 11101001: 01010101 : 55:125 > databyte:  : U : 85
++    1002:00000011 11101010: 00100000 : 20:040 > databyte:  :   : 32
++    1003:00000011 11101011: 01001000 : 48:110 > databyte:  : H : 72
++    1004:00000011 11101100: 01000001 : 41:101 > databyte:  : A : 65
++    1005:00000011 11101101: 01010110 : 56:126 > databyte:  : V : 86
++    1006:00000011 11101110: 01000101 : 45:105 > databyte:  : E : 69
++    1007:00000011 11101111: 00100000 : 20:040 > databyte:  :   : 32
++    1008:00000011 11110000: 01000101 : 45:105 > databyte:  : E : 69
++    1009:00000011 11110001: 01001100 : 4C:114 > databyte:  : L : 76
++    1010:00000011 11110010: 01001001 : 49:111 > databyte:  : I : 73
++    1011:00000011 11110011: 01001101 : 4D:115 > databyte:  : M : 77
++    1012:00000011 11110100: 01001001 : 49:111 > databyte:  : I : 73
++    1013:00000011 11110101: 01001110 : 4E:116 > databyte:  : N : 78
++    1014:00000011 11110110: 01000001 : 41:101 > databyte:  : A : 65
++    1015:00000011 11110111: 01010100 : 54:124 > databyte:  : T : 84
++    1016:00000011 11111000: 01000101 : 45:105 > databyte:  : E : 69
++    1017:00000011 11111001: 01000100 : 44:104 > databyte:  : D : 68
++    1018:00000011 11111010: 00100000 : 20:040 > databyte:  :   : 32
++    1019:00000011 11111011: 01000001 : 41:101 > databyte:  : A : 65
++    1020:00000011 11111100: 01001100 : 4C:114 > databyte:  : L : 76
++    1021:00000011 11111101: 01001100 : 4C:114 > databyte:  : L : 76
++    1022:00000011 11111110: 00100000 : 20:040 > databyte:  :   : 32
++    1023:00000011 11111111: 01001111 : 4F:117 > databyte:  : O : 79
++    1024:00000100 00000000: 01000110 : 46:106 > databyte:  : F : 70
++    1025:00000100 00000001: 00100000 : 20:040 > databyte:  :   : 32
++    1026:00000100 00000010: 01010100 : 54:124 > databyte:  : T : 84
++    1027:00000100 00000011: 01001000 : 48:110 > databyte:  : H : 72
++    1028:00000100 00000100: 01000101 : 45:105 > databyte:  : E : 69
++    1029:00000100 00000101: 00100000 : 20:040 > databyte:  :   : 32
++    1030:00000100 00000110: 01000001 : 41:101 > databyte:  : A : 65
++    1031:00000100 00000111: 01001100 : 4C:114 > databyte:  : L : 76
++    1032:00000100 00001000: 01001001 : 49:111 > databyte:  : I : 73
++    1033:00000100 00001001: 01000101 : 45:105 > databyte:  : E : 69
++    1034:00000100 00001010: 01001110 : 4E:116 > databyte:  : N : 78
++    1035:00000100 00001011: 00100000 : 20:040 > databyte:  :   : 32
++    1036:00000100 00001100: 01010011 : 53:123 > databyte:  : S : 83
++    1037:00000100 00001101: 01001000 : 48:110 > databyte:  : H : 72
++    1038:00000100 00001110: 01001001 : 49:111 > databyte:  : I : 73
++    1039:00000100 00001111: 01010000 : 50:120 > databyte:  : P : 80
++    1040:00000100 00010000: 01010011 : 53:123 > databyte:  : S : 83
++    1041:00000100 00010001: 00000000 : 00:000 > dbbyte: 0
++    1042:00000100 00010010: 00001101 : 0D:015 > dbbyte: 13
++    1043:00000100 00010011: 00001010 : 0A:012 > dbbyte: 10
++    1044:00000100 00010100: 01010100 : 54:124 > databyte:  : T : 84
++    1045:00000100 00010101: 01010010 : 52:122 > databyte:  : R : 82
++    1046:00000100 00010110: 01000001 : 41:101 > databyte:  : A : 65
++    1047:00000100 00010111: 01000011 : 43:103 > databyte:  : C : 67
++    1048:00000100 00011000: 01001011 : 4B:113 > databyte:  : K : 75
++    1049:00000100 00011001: 01001001 : 49:111 > databyte:  : I : 73
++    1050:00000100 00011010: 01001110 : 4E:116 > databyte:  : N : 78
++    1051:00000100 00011011: 01000111 : 47:107 > databyte:  : G : 71
++    1052:00000100 00011100: 00111010 : 3A:072 > databyte:  : : : 58
++    1053:00000100 00011101: 00100000 : 20:040 > databyte:  :   : 32
++    1054:00000100 00011110: 00100000 : 20:040 > databyte:  :   : 32
++    1055:00000100 00011111: 00100000 : 20:040 > databyte:  :   : 32
++    1056:00000100 00100000: 00100000 : 20:040 > databyte:  :   : 32
++    1057:00000100 00100001: 00000000 : 00:000 > dbbyte: 0
++    1058:00000100 00100010: 00001101 : 0D:015 > dbbyte: 13
++    1059:00000100 00100011: 00001010 : 0A:012 > dbbyte: 10
++    1060:00000100 00100100: 01000111 : 47:107 > databyte:  : G : 71
++    1061:00000100 00100101: 01000001 : 41:101 > databyte:  : A : 65
++    1062:00000100 00100110: 01001100 : 4C:114 > databyte:  : L : 76
++    1063:00000100 00100111: 01000001 : 41:101 > databyte:  : A : 65
++    1064:00000100 00101000: 01011000 : 58:130 > databyte:  : X : 88
++    1065:00000100 00101001: 01011001 : 59:131 > databyte:  : Y : 89
++    1066:00000100 00101010: 00100000 : 20:040 > databyte:  :   : 32
++    1067:00000100 00101011: 01000100 : 44:104 > databyte:  : D : 68
++    1068:00000100 00101100: 01001001 : 49:111 > databyte:  : I : 73
++    1069:00000100 00101101: 01010011 : 53:123 > databyte:  : S : 83
++    1070:00000100 00101110: 01010000 : 50:120 > databyte:  : P : 80
++    1071:00000100 00101111: 01001100 : 4C:114 > databyte:  : L : 76
++    1072:00000100 00110000: 01000001 : 41:101 > databyte:  : A : 65
++    1073:00000100 00110001: 01011001 : 59:131 > databyte:  : Y : 89
++    1074:00000100 00110010: 00000000 : 00:000 > dbbyte: 0
++    1075:00000100 00110011: 00001101 : 0D:015 > dbbyte: 13
++    1076:00000100 00110100: 00001010 : 0A:012 > dbbyte: 10
++    1077:00000100 00110101: 01010000 : 50:120 > databyte:  : P : 80
++    1078:00000100 00110110: 01001000 : 48:110 > databyte:  : H : 72
++    1079:00000100 00110111: 01000001 : 41:101 > databyte:  : A : 65
++    1080:00000100 00111000: 01010011 : 53:123 > databyte:  : S : 83
++    1081:00000100 00111001: 01001111 : 4F:117 > databyte:  : O : 79
++    1082:00000100 00111010: 01010010 : 52:122 > databyte:  : R : 82
++    1083:00000100 00111011: 00100000 : 20:040 > databyte:  :   : 32
++    1084:00000100 00111100: 01000101 : 45:105 > databyte:  : E : 69
++    1085:00000100 00111101: 01001110 : 4E:116 > databyte:  : N : 78
++    1086:00000100 00111110: 01000101 : 45:105 > databyte:  : E : 69
++    1087:00000100 00111111: 01010010 : 52:122 > databyte:  : R : 82
++    1088:00000100 01000000: 01000111 : 47:107 > databyte:  : G : 71
++    1089:00000100 01000001: 01011001 : 59:131 > databyte:  : Y : 89
++    1090:00000100 01000010: 00100000 : 20:040 > databyte:  :   : 32
++    1091:00000100 01000011: 01010100 : 54:124 > databyte:  : T : 84
++    1092:00000100 01000100: 01001111 : 4F:117 > databyte:  : O : 79
++    1093:00000100 01000101: 00100000 : 20:040 > databyte:  :   : 32
++    1094:00000100 01000110: 01000110 : 46:106 > databyte:  : F : 70
++    1095:00000100 01000111: 01001001 : 49:111 > databyte:  : I : 73
++    1096:00000100 01001000: 01010010 : 52:122 > databyte:  : R : 82
++    1097:00000100 01001001: 01000101 : 45:105 > databyte:  : E : 69
++    1098:00000100 01001010: 00100000 : 20:040 > databyte:  :   : 32
++    1099:00000100 01001011: 00111101 : 3D:075 > databyte:  : = : 61
++    1100:00000100 01001100: 00100000 : 20:040 > databyte:  :   : 32
++    1101:00000100 01001101: 00000000 : 00:000 > dbbyte: 0
++    1102:00000100 01001110: 00001101 : 0D:015 > dbbyte: 13
++    1103:00000100 01001111: 00001010 : 0A:012 > dbbyte: 10
++    1104:00000100 01010000: 01000001 : 41:101 > databyte:  : A : 65
++    1105:00000100 01010001: 01001100 : 4C:114 > databyte:  : L : 76
++    1106:00000100 01010010: 01001001 : 49:111 > databyte:  : I : 73
++    1107:00000100 01010011: 01000101 : 45:105 > databyte:  : E : 69
++    1108:00000100 01010100: 01001110 : 4E:116 > databyte:  : N : 78
++    1109:00000100 01010101: 00100000 : 20:040 > databyte:  :   : 32
++    1110:00000100 01010110: 01010011 : 53:123 > databyte:  : S : 83
++    1111:00000100 01010111: 01001000 : 48:110 > databyte:  : H : 72
++    1112:00000100 01011000: 01001001 : 49:111 > databyte:  : I : 73
++    1113:00000100 01011001: 01010000 : 50:120 > databyte:  : P : 80
++    1114:00000100 01011010: 00100000 : 20:040 > databyte:  :   : 32
++    1115:00000100 01011011: 01000001 : 41:101 > databyte:  : A : 65
++    1116:00000100 01011100: 01010100 : 54:124 > databyte:  : T : 84
++    1117:00000100 01011101: 00100000 : 20:040 > databyte:  :   : 32
++    1118:00000100 01011110: 01010011 : 53:123 > databyte:  : S : 83
++    1119:00000100 01011111: 01000101 : 45:105 > databyte:  : E : 69
++    1120:00000100 01100000: 01000011 : 43:103 > databyte:  : C : 67
++    1121:00000100 01100001: 01010100 : 54:124 > databyte:  : T : 84
++    1122:00000100 01100010: 01001111 : 4F:117 > databyte:  : O : 79
++    1123:00000100 01100011: 01010010 : 52:122 > databyte:  : R : 82
++    1124:00000100 01100100: 00100000 : 20:040 > databyte:  :   : 32
++    1125:00000100 01100101: 00100000 : 20:040 > databyte:  :   : 32
++    1126:00000100 01100110: 00101100 : 2C:054 > databyte:  : , : 44
++    1127:00000100 01100111: 00100000 : 20:040 > databyte:  :   : 32
++    1128:00000100 01101000: 00111010 : 3A:072 > databyte:  : : : 58
++    1129:00000100 01101001: 00100000 : 20:040 > databyte:  :   : 32
++    1130:00000100 01101010: 00000000 : 00:000 > dbbyte: 0
++    1131:00000100 01101011: 01000101 : 45:105 > databyte:  : E : 69
++    1132:00000100 01101100: 01001110 : 4E:116 > databyte:  : N : 78
++    1133:00000100 01101101: 01000101 : 45:105 > databyte:  : E : 69
++    1134:00000100 01101110: 01010010 : 52:122 > databyte:  : R : 82
++    1135:00000100 01101111: 01000111 : 47:107 > databyte:  : G : 71
++    1136:00000100 01110000: 01011001 : 59:131 > databyte:  : Y : 89
++    1137:00000100 01110001: 00100000 : 20:040 > databyte:  :   : 32
++    1138:00000100 01110010: 00111101 : 3D:075 > databyte:  : = : 61
++    1139:00000100 01110011: 00100000 : 20:040 > databyte:  :   : 32
++    1140:00000100 01110100: 00100000 : 20:040 > databyte:  :   : 32
++    1141:00000100 01110101: 00100000 : 20:040 > databyte:  :   : 32
++    1142:00000100 01110110: 00100000 : 20:040 > databyte:  :   : 32
++    1143:00000100 01110111: 00100000 : 20:040 > dbbyte: 32
++    1144:00000100 01111000: 00000000 : 00:000 > dbbyte: 0
++    1145:00000100 01111001: 00001101 : 0D:015 > dbbyte: 13
++    1146:00000100 01111010: 00001010 : 0A:012 > dbbyte: 10
++    1147:00000100 01111011: 01001110 : 4E:116 > databyte:  : N : 78
++    1148:00000100 01111100: 01001111 : 4F:117 > databyte:  : O : 79
++    1149:00000100 01111101: 00100000 : 20:040 > databyte:  :   : 32
++    1150:00000100 01111110: 01000001 : 41:101 > databyte:  : A : 65
++    1151:00000100 01111111: 01001100 : 4C:114 > databyte:  : L : 76
++    1152:00000100 10000000: 01001001 : 49:111 > databyte:  : I : 73
++    1153:00000100 10000001: 01000101 : 45:105 > databyte:  : E : 69
++    1154:00000100 10000010: 01001110 : 4E:116 > databyte:  : N : 78
++    1155:00000100 10000011: 00100000 : 20:040 > databyte:  :   : 32
++    1156:00000100 10000100: 01010011 : 53:123 > databyte:  : S : 83
++    1157:00000100 10000101: 01001000 : 48:110 > databyte:  : H : 72
++    1158:00000100 10000110: 01001001 : 49:111 > databyte:  : I : 73
++    1159:00000100 10000111: 01010000 : 50:120 > databyte:  : P : 80
++    1160:00000100 10001000: 01010011 : 53:123 > databyte:  : S : 83
++    1161:00000100 10001001: 00100001 : 21:041 > databyte:  : ! : 33
++    1162:00000100 10001010: 00100000 : 20:040 > databyte:  :   : 32
++    1163:00000100 10001011: 01010111 : 57:127 > databyte:  : W : 87
++    1164:00000100 10001100: 01000001 : 41:101 > databyte:  : A : 65
++    1165:00000100 10001101: 01010011 : 53:123 > databyte:  : S : 83
++    1166:00000100 10001110: 01010100 : 54:124 > databyte:  : T : 84
++    1167:00000100 10001111: 01000101 : 45:105 > databyte:  : E : 69
++    1168:00000100 10010000: 01000100 : 44:104 > databyte:  : D : 68
++    1169:00000100 10010001: 00100000 : 20:040 > databyte:  :   : 32
++    1170:00000100 10010010: 01010011 : 53:123 > databyte:  : S : 83
++    1171:00000100 10010011: 01001000 : 48:110 > databyte:  : H : 72
++    1172:00000100 10010100: 01001111 : 4F:117 > databyte:  : O : 79
++    1173:00000100 10010101: 01010100 : 54:124 > databyte:  : T : 84
++    1174:00000100 10010110: 00000000 : 00:000 > dbbyte: 0
++    1175:00000100 10010111: 00001101 : 0D:015 > dbbyte: 13
++    1176:00000100 10011000: 00001010 : 0A:012 > dbbyte: 10
++    1177:00000100 10011001: 01000001 : 41:101 > databyte:  : A : 65
++    1178:00000100 10011010: 01000010 : 42:102 > databyte:  : B : 66
++    1179:00000100 10011011: 01000001 : 41:101 > databyte:  : A : 65
++    1180:00000100 10011100: 01001110 : 4E:116 > databyte:  : N : 78
++    1181:00000100 10011101: 01000100 : 44:104 > databyte:  : D : 68
++    1182:00000100 10011110: 01001111 : 4F:117 > databyte:  : O : 79
++    1183:00000100 10011111: 01001110 : 4E:116 > databyte:  : N : 78
++    1184:00000100 10100000: 00100000 : 20:040 > databyte:  :   : 32
++    1185:00000100 10100001: 01010011 : 53:123 > databyte:  : S : 83
++    1186:00000100 10100010: 01001000 : 48:110 > databyte:  : H : 72
++    1187:00000100 10100011: 01001001 : 49:111 > databyte:  : I : 73
++    1188:00000100 10100100: 01010000 : 50:120 > databyte:  : P : 80
++    1189:00000100 10100101: 00100001 : 21:041 > databyte:  : ! : 33
++    1190:00000100 10100110: 00100000 : 20:040 > databyte:  :   : 32
++    1191:00000100 10100111: 01001110 : 4E:116 > databyte:  : N : 78
++    1192:00000100 10101000: 01001111 : 4F:117 > databyte:  : O : 79
++    1193:00000100 10101001: 00100000 : 20:040 > databyte:  :   : 32
++    1194:00000100 10101010: 01000101 : 45:105 > databyte:  : E : 69
++    1195:00000100 10101011: 01001110 : 4E:116 > databyte:  : N : 78
++    1196:00000100 10101100: 01000101 : 45:105 > databyte:  : E : 69
++    1197:00000100 10101101: 01010010 : 52:122 > databyte:  : R : 82
++    1198:00000100 10101110: 01000111 : 47:107 > databyte:  : G : 71
++    1199:00000100 10101111: 01011001 : 59:131 > databyte:  : Y : 89
++    1200:00000100 10110000: 00100000 : 20:040 > databyte:  :   : 32
++    1201:00000100 10110001: 01001100 : 4C:114 > databyte:  : L : 76
++    1202:00000100 10110010: 01000101 : 45:105 > databyte:  : E : 69
++    1203:00000100 10110011: 01000110 : 46:106 > databyte:  : F : 70
++    1204:00000100 10110100: 01010100 : 54:124 > databyte:  : T : 84
++    1205:00000100 10110101: 00000000 : 00:000 > dbbyte: 0
++    1206:00000100 10110110: 00001101 : 0D:015 > dbbyte: 13
++    1207:00000100 10110111: 00001010 : 0A:012 > dbbyte: 10
++    1208:00000100 10111000: 01001110 : 4E:116 > databyte:  : N : 78
++    1209:00000100 10111001: 01001111 : 4F:117 > databyte:  : O : 79
++    1210:00000100 10111010: 00100000 : 20:040 > databyte:  :   : 32
++    1211:00000100 10111011: 01010100 : 54:124 > databyte:  : T : 84
++    1212:00000100 10111100: 01001111 : 4F:117 > databyte:  : O : 79
++    1213:00000100 10111101: 01010010 : 52:122 > databyte:  : R : 82
++    1214:00000100 10111110: 01010000 : 50:120 > databyte:  : P : 80
++    1215:00000100 10111111: 01000101 : 45:105 > databyte:  : E : 69
++    1216:00000100 11000000: 01000100 : 44:104 > databyte:  : D : 68
++    1217:00000100 11000001: 01001111 : 4F:117 > databyte:  : O : 79
++    1218:00000100 11000010: 01000101 : 45:105 > databyte:  : E : 69
++    1219:00000100 11000011: 01010011 : 53:123 > databyte:  : S : 83
++    1220:00000100 11000100: 00000000 : 00:000 > dbbyte: 0
++    1221:00000100 11000101: 00001101 : 0D:015 > dbbyte: 13
++    1222:00000100 11000110: 00001010 : 0A:012 > dbbyte: 10
++    1223:00000100 11000111: 00110001 : 31:061 > databyte:  : 1 : 49
++    1224:00000100 11001000: 00100000 : 20:040 > databyte:  :   : 32
++    1225:00000100 11001001: 00100000 : 20:040 > databyte:  :   : 32
++    1226:00000100 11001010: 00100000 : 20:040 > databyte:  :   : 32
++    1227:00000100 11001011: 00100000 : 20:040 > databyte:  :   : 32
++    1228:00000100 11001100: 00100000 : 20:040 > databyte:  :   : 32
++    1229:00000100 11001101: 00110001 : 31:061 > databyte:  : 1 : 49
++    1230:00000100 11001110: 00100000 : 20:040 > databyte:  :   : 32
++    1231:00000100 11001111: 00100000 : 20:040 > databyte:  :   : 32
++    1232:00000100 11010000: 00100000 : 20:040 > databyte:  :   : 32
++    1233:00000100 11010001: 00100000 : 20:040 > databyte:  :   : 32
++    1234:00000100 11010010: 00100000 : 20:040 > databyte:  :   : 32
++    1235:00000100 11010011: 00110001 : 31:061 > databyte:  : 1 : 49
++    1236:00000100 11010100: 00100000 : 20:040 > databyte:  :   : 32
++    1237:00000100 11010101: 00100000 : 20:040 > databyte:  :   : 32
++    1238:00000100 11010110: 00100000 : 20:040 > databyte:  :   : 32
++    1239:00000100 11010111: 00100000 : 20:040 > databyte:  :   : 32
++    1240:00000100 11011000: 00100000 : 20:040 > databyte:  :   : 32
++    1241:00000100 11011001: 00110001 : 31:061 > databyte:  : 1 : 49
++    1242:00000100 11011010: 00000000 : 00:000 > dbbyte: 0
++    1243:00000100 11011011: 00001101 : 0D:015 > dbbyte: 13
++    1244:00000100 11011100: 00001010 : 0A:012 > dbbyte: 10
++    1245:00000100 11011101: 01001100 : 4C:114 > databyte:  : L : 76
++    1246:00000100 11011110: 01000001 : 41:101 > databyte:  : A : 65
++    1247:00000100 11011111: 01010011 : 53:123 > databyte:  : S : 83
++    1248:00000100 11100000: 01010100 : 54:124 > databyte:  : T : 84
++    1249:00000100 11100001: 00000000 : 00:000 > dbbyte: 0
++    1250:00000100 11100010: 00001101 : 0D:015 > dbbyte: 13
++    1251:00000100 11100011: 00001010 : 0A:012 > dbbyte: 10
++    1252:00000100 11100100: 01000011 : 43:103 > databyte:  : C : 67
++    1253:00000100 11100101: 01001000 : 48:110 > databyte:  : H : 72
++    1254:00000100 11100110: 01001001 : 49:111 > databyte:  : I : 73
++    1255:00000100 11100111: 01000011 : 43:103 > databyte:  : C : 67
++    1256:00000100 11101000: 01001011 : 4B:113 > databyte:  : K : 75
++    1257:00000100 11101001: 01000101 : 45:105 > databyte:  : E : 69
++    1258:00000100 11101010: 01001110 : 4E:116 > databyte:  : N : 78
++    1259:00000100 11101011: 00100001 : 21:041 > databyte:  : ! : 33
++    1260:00000100 11101100: 00000000 : 00:000 > dbbyte: 0
++    1261:00000100 11101101: 00000000 : 00:000 > dsname: org : 0
++    1262:00000100 11101110: 00000000 : 00:000 > dsname: org : 0
++    1263:00000100 11101111: 00000000 : 00:000 > dsname: org : 0
++    1264:00000100 11110000: 00000000 : 00:000 > dsname: org : 0
++    1265:00000100 11110001: 00000000 : 00:000 > dsname: org : 0
++    1266:00000100 11110010: 00000000 : 00:000 > dsname: org : 0
++    1267:00000100 11110011: 00000000 : 00:000 > dsname: org : 0
++    1268:00000100 11110100: 00000000 : 00:000 > dsname: org : 0
++    1269:00000100 11110101: 00000000 : 00:000 > dsname: org : 0
++    1270:00000100 11110110: 00000000 : 00:000 > dsname: org : 0
++    1271:00000100 11110111: 00000000 : 00:000 > dsname: org : 0
++    1272:00000100 11111000: 00000000 : 00:000 > dsname: org : 0
++    1273:00000100 11111001: 00000000 : 00:000 > dsname: org : 0
++    1274:00000100 11111010: 00000000 : 00:000 > dsname: org : 0
++    1275:00000100 11111011: 00000000 : 00:000 > dsname: org : 0
++    1276:00000100 11111100: 00000000 : 00:000 > dsname: org : 0
++    1277:00000100 11111101: 00000000 : 00:000 > dsname: org : 0
++    1278:00000100 11111110: 00000000 : 00:000 > dsname: org : 0
++    1279:00000100 11111111: 00000000 : 00:000 > dsname: org : 0
++    1280:00000101 00000000: 01111110 : 7E:176 > opcode: mov a,m
++    1281:00000101 00000001: 10100111 : A7:247 > opcode: ana a
++    1282:00000101 00000010: 11001000 : C8:310 > opcode: rz
++    1283:00000101 00000011: 11001101 : CD:315 > opcode: call PRINT
++    1284:00000101 00000100: 10010101 : 95:225 > lb: 149
++    1285:00000101 00000101: 00001111 : 0F:017 > hb: 15
++    1286:00000101 00000110: 00100011 : 23:043 > opcode: inx h
++    1287:00000101 00000111: 11000011 : C3:303 > opcode: jmp MSG
++    1288:00000101 00001000: 00000000 : 00:000 > lb: 0
++    1289:00000101 00001001: 00000101 : 05:005 > hb: 5
++    1290:00000101 00001010: 00100001 : 21:041 > opcode: lxi h,0040H
++    1291:00000101 00001011: 01000000 : 40:100 > lb: 64
++    1292:00000101 00001100: 00000000 : 00:000 > hb: 0
++    1293:00000101 00001101: 01111110 : 7E:176 > opcode: mov a,m
++    1294:00000101 00001110: 01000111 : 47:107 > opcode: mov b,a
++    1295:00000101 00001111: 00000111 : 07:007 > opcode: rlc
++    1296:00000101 00010000: 10101000 : A8:250 > opcode: xra b
++    1297:00000101 00010001: 00001111 : 0F:017 > opcode: rrc
++    1298:00000101 00010010: 00101100 : 2C:054 > opcode: inr l
++    1299:00000101 00010011: 00110100 : 34:064 > opcode: inr m
++    1300:00000101 00010100: 10000110 : 86:206 > opcode: add m
++    1301:00000101 00010101: 00101101 : 2D:055 > opcode: dcr l
++    1302:00000101 00010110: 01110111 : 77:167 > opcode: mov m,a
