+ Print Program Bytes and description.
++ Address:16-bit bytes       databyte :hex:oct > description
++    1181:00000100 10011101: 01000100 : 44:104 > databyte:  : D : 68
++    1182:00000100 10011110: 01001111 : 4F:117 > databyte:  : O : 79
++    1183:00000100 10011111: 01001110 : 4E:116 > databyte:  : N : 78
++    1184:00000100 10100000: 00100000 : 20:040 > databyte:  :   : 32
++    1185:00000100 10100001: 01010011 : 53:123 > databyte:  : S : 83
++    1186:00000100 10100010: 01001000 : 48:110 > databyte:  : H : 72
++    1187:00000100 10100011: 01001001 : 49:111 > databyte:  : I : 73
++    1188:00000100 10100100: 01010000 : 50:120 > databyte:  : P : 80
++    1189:00000100 10100101: 00100001 : 21:041 > databyte:  : ! : 33
++    1190:00000100 10100110: 00100000 : 20:040 > databyte:  :   : 32
++    1191:00000100 10100111: 01001110 : 4E:116 > databyte:  : N : 78
++    1192:00000100 10101000: 01101111 : 6F:157 > databyte:  : o : 111
++    1193:00000100 10101001: 00100000 : 20:040 > databyte:  :   : 32
++    1194:00000100 10101010: 01100101 : 65:145 > databyte:  : e : 101
++    1195:00000100 10101011: 01101110 : 6E:156 > databyte:  : n : 110
++    1196:00000100 10101100: 01100101 : 65:145 > databyte:  : e : 101
++    1197:00000100 10101101: 01110010 : 72:162 > databyte:  : r : 114
++    1198:00000100 10101110: 01100111 : 67:147 > databyte:  : g : 103
++    1199:00000100 10101111: 01111001 : 79:171 > databyte:  : y : 121
++    1200:00000100 10110000: 00100000 : 20:040 > databyte:  :   : 32
++    1201:00000100 10110001: 01101100 : 6C:154 > databyte:  : l : 108
++    1202:00000100 10110010: 01100101 : 65:145 > databyte:  : e : 101
++    1203:00000100 10110011: 01100110 : 66:146 > databyte:  : f : 102
++    1204:00000100 10110100: 01110100 : 74:164 > databyte:  : t : 116
++    1205:00000100 10110101: 00000000 : 00:000 > dbbyte: 0
++    1206:00000100 10110110: 00001101 : 0D:015 > dbbyte: 13
++    1207:00000100 10110111: 00001010 : 0A:012 > dbbyte: 10
++    1208:00000100 10111000: 01001110 : 4E:116 > databyte:  : N : 78
++    1209:00000100 10111001: 01101111 : 6F:157 > databyte:  : o : 111
++    1210:00000100 10111010: 00100000 : 20:040 > databyte:  :   : 32
++    1211:00000100 10111011: 01110100 : 74:164 > databyte:  : t : 116
++    1212:00000100 10111100: 01101111 : 6F:157 > databyte:  : o : 111
++    1213:00000100 10111101: 01110010 : 72:162 > databyte:  : r : 114
++    1214:00000100 10111110: 01110000 : 70:160 > databyte:  : p : 112
++    1215:00000100 10111111: 01100101 : 65:145 > databyte:  : e : 101
++    1216:00000100 11000000: 01100100 : 64:144 > databyte:  : d : 100
++    1217:00000100 11000001: 01101111 : 6F:157 > databyte:  : o : 111
++    1218:00000100 11000010: 01100101 : 65:145 > databyte:  : e : 101
++    1219:00000100 11000011: 01110011 : 73:163 > databyte:  : s : 115
++    1220:00000100 11000100: 00000000 : 00:000 > dbbyte: 0
++    1221:00000100 11000101: 00001101 : 0D:015 > dbbyte: 13
++    1222:00000100 11000110: 00001010 : 0A:012 > dbbyte: 10
++    1223:00000100 11000111: 00110001 : 31:061 > databyte:  : 1 : 49
++    1224:00000100 11001000: 00100000 : 20:040 > databyte:  :   : 32
++    1225:00000100 11001001: 00100000 : 20:040 > databyte:  :   : 32
++    1226:00000100 11001010: 00100000 : 20:040 > databyte:  :   : 32
++    1227:00000100 11001011: 00100000 : 20:040 > databyte:  :   : 32
++    1228:00000100 11001100: 00100000 : 20:040 > databyte:  :   : 32
++    1229:00000100 11001101: 00110001 : 31:061 > databyte:  : 1 : 49
++    1230:00000100 11001110: 00100000 : 20:040 > databyte:  :   : 32
++    1231:00000100 11001111: 00100000 : 20:040 > databyte:  :   : 32
++    1232:00000100 11010000: 00100000 : 20:040 > databyte:  :   : 32
++    1233:00000100 11010001: 00100000 : 20:040 > databyte:  :   : 32
++    1234:00000100 11010010: 00100000 : 20:040 > databyte:  :   : 32
++    1235:00000100 11010011: 00110001 : 31:061 > databyte:  : 1 : 49
++    1236:00000100 11010100: 00100000 : 20:040 > databyte:  :   : 32
++    1237:00000100 11010101: 00100000 : 20:040 > databyte:  :   : 32
++    1238:00000100 11010110: 00100000 : 20:040 > databyte:  :   : 32
++    1239:00000100 11010111: 00100000 : 20:040 > databyte:  :   : 32
++    1240:00000100 11011000: 00100000 : 20:040 > databyte:  :   : 32
++    1241:00000100 11011001: 00110001 : 31:061 > databyte:  : 1 : 49
++    1242:00000100 11011010: 00000000 : 00:000 > dbbyte: 0
++    1243:00000100 11011011: 00000000 : 00:000 > dsname: org : 0
++    1244:00000100 11011100: 00000000 : 00:000 > dsname: org : 0
++    1245:00000100 11011101: 00000000 : 00:000 > dsname: org : 0
++    1246:00000100 11011110: 00000000 : 00:000 > dsname: org : 0
++    1247:00000100 11011111: 00000000 : 00:000 > dsname: org : 0
++    1248:00000100 11100000: 00000000 : 00:000 > dsname: org : 0
++    1249:00000100 11100001: 00000000 : 00:000 > dsname: org : 0
++    1250:00000100 11100010: 00000000 : 00:000 > dsname: org : 0
++    1251:00000100 11100011: 00000000 : 00:000 > dsname: org : 0
++    1252:00000100 11100100: 00000000 : 00:000 > dsname: org : 0
++    1253:00000100 11100101: 00000000 : 00:000 > dsname: org : 0
++    1254:00000100 11100110: 00000000 : 00:000 > dsname: org : 0
++    1255:00000100 11100111: 00000000 : 00:000 > dsname: org : 0
++    1256:00000100 11101000: 00000000 : 00:000 > dsname: org : 0
++    1257:00000100 11101001: 00000000 : 00:000 > dsname: org : 0
++    1258:00000100 11101010: 00000000 : 00:000 > dsname: org : 0
++    1259:00000100 11101011: 00000000 : 00:000 > dsname: org : 0
++    1260:00000100 11101100: 00000000 : 00:000 > dsname: org : 0
++    1261:00000100 11101101: 00000000 : 00:000 > dsname: org : 0
++    1262:00000100 11101110: 00000000 : 00:000 > dsname: org : 0
++    1263:00000100 11101111: 00000000 : 00:000 > dsname: org : 0
++    1264:00000100 11110000: 00000000 : 00:000 > dsname: org : 0
++    1265:00000100 11110001: 00000000 : 00:000 > dsname: org : 0
++    1266:00000100 11110010: 00000000 : 00:000 > dsname: org : 0
++    1267:00000100 11110011: 00000000 : 00:000 > dsname: org : 0
++    1268:00000100 11110100: 00000000 : 00:000 > dsname: org : 0
++    1269:00000100 11110101: 00000000 : 00:000 > dsname: org : 0
++    1270:00000100 11110110: 00000000 : 00:000 > dsname: org : 0
++    1271:00000100 11110111: 00000000 : 00:000 > dsname: org : 0
++    1272:00000100 11111000: 00000000 : 00:000 > dsname: org : 0
++    1273:00000100 11111001: 00000000 : 00:000 > dsname: org : 0
++    1274:00000100 11111010: 00000000 : 00:000 > dsname: org : 0
++    1275:00000100 11111011: 00000000 : 00:000 > dsname: org : 0
++    1276:00000100 11111100: 00000000 : 00:000 > dsname: org : 0
++    1277:00000100 11111101: 00000000 : 00:000 > dsname: org : 0
++    1278:00000100 11111110: 00000000 : 00:000 > dsname: org : 0
++    1279:00000100 11111111: 00000000 : 00:000 > dsname: org : 0
++    1280:00000101 00000000: 00110001 : 31:061 > opcode: lxi sp,STACK
++    1281:00000101 00000001: 01010000 : 50:120 > lb: 80
++    1282:00000101 00000010: 00010000 : 10:020 > hb: 16
++    1283:00000101 00000011: 11001101 : CD:315 > opcode: call CONINI
++    1284:00000101 00000100: 01110001 : 71:161 > lb: 113
++    1285:00000101 00000101: 00010000 : 10:020 > hb: 16
++    1286:00000101 00000110: 00100001 : 21:041 > opcode: lxi h,MSGSTART
++    1287:00000101 00000111: 01000110 : 46:106 > lb: 70
++    1288:00000101 00001000: 00010010 : 12:022 > hb: 18
++    1289:00000101 00001001: 11001101 : CD:315 > opcode: call MSG
++    1290:00000101 00001010: 11101000 : E8:350 > lb: 232
++    1291:00000101 00001011: 00001010 : 0A:012 > hb: 10
++    1292:00000101 00001100: 11001101 : CD:315 > opcode: call RN
++    1293:00000101 00001101: 11110010 : F2:362 > lb: 242
++    1294:00000101 00001110: 00001010 : 0A:012 > hb: 10
++    1295:00000101 00001111: 11011011 : DB:333 > opcode: in SIOCTL
++    1296:00000101 00010000: 00010000 : 10:020 > immediate:  SIOCTL : 16
++    1297:00000101 00010001: 11111110 : FE:376 > opcode: cpi 0
++    1298:00000101 00010010: 00000000 : 00:000 > immediate:  0 : 0
++    1299:00000101 00010011: 11001010 : CA:312 > opcode: jz STARTYN
++    1300:00000101 00010100: 00001100 : 0C:014 > lb: 12
++    1301:00000101 00010101: 00000101 : 05:005 > hb: 5
++    1302:00000101 00010110: 11111110 : FE:376 > opcode: cpi 'n'
++    1303:00000101 00010111: 01101110 : 6E:156 > immediate:  'n' : 110
++    1304:00000101 00011000: 11001010 : CA:312 > opcode: jz NOGAME
++    1305:00000101 00011001: 00001011 : 0B:013 > lb: 11
++    1306:00000101 00011010: 00001111 : 0F:017 > hb: 15
++    1307:00000101 00011011: 11111110 : FE:376 > opcode: cpi 'N'
++    1308:00000101 00011100: 01001110 : 4E:116 > immediate:  'N' : 78
++    1309:00000101 00011101: 11001010 : CA:312 > opcode: jz NOGAME
++    1310:00000101 00011110: 00001011 : 0B:013 > lb: 11
++    1311:00000101 00011111: 00001111 : 0F:017 > hb: 15
++    1312:00000101 00100000: 11111110 : FE:376 > opcode: cpi 'y'
++    1313:00000101 00100001: 01111001 : 79:171 > immediate:  'y' : 121
++    1314:00000101 00100010: 11001010 : CA:312 > opcode: jz SELECTLEN
++    1315:00000101 00100011: 00101101 : 2D:055 > lb: 45
++    1316:00000101 00100100: 00000101 : 05:005 > hb: 5
++    1317:00000101 00100101: 11111110 : FE:376 > opcode: cpi 'Y'
++    1318:00000101 00100110: 01011001 : 59:131 > immediate:  'Y' : 89
++    1319:00000101 00100111: 11001010 : CA:312 > opcode: jz SELECTLEN
++    1320:00000101 00101000: 00101101 : 2D:055 > lb: 45
++    1321:00000101 00101001: 00000101 : 05:005 > hb: 5
++    1322:00000101 00101010: 11000011 : C3:303 > opcode: jmp STARTYN
++    1323:00000101 00101011: 00001100 : 0C:014 > lb: 12
++    1324:00000101 00101100: 00000101 : 05:005 > hb: 5
++    1325:00000101 00101101: 00100001 : 21:041 > opcode: lxi h,MSSEL1
++    1326:00000101 00101110: 10000101 : 85:205 > lb: 133
++    1327:00000101 00101111: 00010010 : 12:022 > hb: 18
++    1328:00000101 00110000: 11001101 : CD:315 > opcode: call MSG
++    1329:00000101 00110001: 11101000 : E8:350 > lb: 232
++    1330:00000101 00110010: 00001010 : 0A:012 > hb: 10
++    1331:00000101 00110011: 11001101 : CD:315 > opcode: call INPUT
++    1332:00000101 00110100: 10111000 : B8:270 > lb: 184
++    1333:00000101 00110101: 00001111 : 0F:017 > hb: 15
++    1334:00000101 00110110: 11111110 : FE:376 > opcode: cpi '1'
++    1335:00000101 00110111: 00110001 : 31:061 > immediate:  '1' : 49
++    1336:00000101 00111000: 11001010 : CA:312 > opcode: jz QGAME
++    1337:00000101 00111001: 01000101 : 45:105 > lb: 69
++    1338:00000101 00111010: 00000101 : 05:005 > hb: 5
++    1339:00000101 00111011: 11111110 : FE:376 > opcode: cpi '2'
++    1340:00000101 00111100: 00110010 : 32:062 > immediate:  '2' : 50
++    1341:00000101 00111101: 11001010 : CA:312 > opcode: jz MGAME
++    1342:00000101 00111110: 01010010 : 52:122 > lb: 82
++    1343:00000101 00111111: 00000101 : 05:005 > hb: 5
++    1344:00000101 01000000: 11111110 : FE:376 > opcode: cpi '3'
++    1345:00000101 01000001: 00110011 : 33:063 > immediate:  '3' : 51
++    1346:00000101 01000010: 11001010 : CA:312 > opcode: jz LGAME
++    1347:00000101 01000011: 01011111 : 5F:137 > lb: 95
++    1348:00000101 01000100: 00000101 : 05:005 > hb: 5
++    1349:00000101 01000101: 00111110 : 3E:076 > opcode: mvi a,3
++    1350:00000101 01000110: 00000011 : 03:003 > immediate:  3 : 3
++    1351:00000101 01000111: 00110010 : 32:062 > opcode: sta ASHIPSH
++    1352:00000101 01001000: 10101001 : A9:251 > lb: 169
++    1353:00000101 01001001: 00010100 : 14:024 > hb: 20
++    1354:00000101 01001010: 00111110 : 3E:076 > opcode: mvi a,1
++    1355:00000101 01001011: 00000001 : 01:001 > immediate:  1 : 1
++    1356:00000101 01001100: 00110010 : 32:062 > opcode: sta ASHIPSL
++    1357:00000101 01001101: 10101010 : AA:252 > lb: 170
++    1358:00000101 01001110: 00010100 : 14:024 > hb: 20
++    1359:00000101 01001111: 11000011 : C3:303 > opcode: jmp STARTGAME
++    1360:00000101 01010000: 01101001 : 69:151 > lb: 105
++    1361:00000101 01010001: 00000101 : 05:005 > hb: 5
++    1362:00000101 01010010: 00111110 : 3E:076 > opcode: mvi a,9
++    1363:00000101 01010011: 00001001 : 09:011 > immediate:  9 : 9
++    1364:00000101 01010100: 00110010 : 32:062 > opcode: sta ASHIPSH
++    1365:00000101 01010101: 10101001 : A9:251 > lb: 169
++    1366:00000101 01010110: 00010100 : 14:024 > hb: 20
++    1367:00000101 01010111: 00111110 : 3E:076 > opcode: mvi a,5
++    1368:00000101 01011000: 00000101 : 05:005 > immediate:  5 : 5
++    1369:00000101 01011001: 00110010 : 32:062 > opcode: sta ASHIPSL
++    1370:00000101 01011010: 10101010 : AA:252 > lb: 170
++    1371:00000101 01011011: 00010100 : 14:024 > hb: 20
++    1372:00000101 01011100: 11000011 : C3:303 > opcode: jmp STARTGAME
++    1373:00000101 01011101: 01101001 : 69:151 > lb: 105
++    1374:00000101 01011110: 00000101 : 05:005 > hb: 5
++    1375:00000101 01011111: 00111110 : 3E:076 > opcode: mvi a,32
++    1376:00000101 01100000: 00100000 : 20:040 > immediate:  32 : 32
++    1377:00000101 01100001: 00110010 : 32:062 > opcode: sta ASHIPSH
++    1378:00000101 01100010: 10101001 : A9:251 > lb: 169
++    1379:00000101 01100011: 00010100 : 14:024 > hb: 20
++    1380:00000101 01100100: 00111110 : 3E:076 > opcode: mvi a,10
++    1381:00000101 01100101: 00001010 : 0A:012 > immediate:  10 : 10
++    1382:00000101 01100110: 00110010 : 32:062 > opcode: sta ASHIPSL
++    1383:00000101 01100111: 10101010 : AA:252 > lb: 170
++    1384:00000101 01101000: 00010100 : 14:024 > hb: 20
++    1385:00000101 01101001: 00100001 : 21:041 > opcode: lxi h,MSPREP
++    1386:00000101 01101010: 10100111 : A7:247 > lb: 167
++    1387:00000101 01101011: 00010010 : 12:022 > hb: 18
++    1388:00000101 01101100: 11001101 : CD:315 > opcode: call MSG
++    1389:00000101 01101101: 11101000 : E8:350 > lb: 232
++    1390:00000101 01101110: 00001010 : 0A:012 > hb: 10
++    1391:00000101 01101111: 00011110 : 1E:036 > opcode: mvi e,00C0H
++    1392:00000101 01110000: 11000000 : C0:300 > immediate:  00C0H : 192
++    1393:00000101 01110001: 11001101 : CD:315 > opcode: call RN
++    1394:00000101 01110010: 11110010 : F2:362 > lb: 242
++    1395:00000101 01110011: 00001010 : 0A:012 > hb: 10
++    1396:00000101 01110100: 11100110 : E6:346 > opcode: ani 07FH
++    1397:00000101 01110101: 01111111 : 7F:177 > immediate:  07FH : 127
++    1398:00000101 01110110: 01101111 : 6F:157 > opcode: mov l,a
++    1399:00000101 01110111: 00100110 : 26:046 > opcode: mvi h,00FH
++    1400:00000101 01111000: 00001111 : 0F:017 > immediate:  00FH : 15
++    1401:00000101 01111001: 01111110 : 7E:176 > opcode: mov a,m
++    1402:00000101 01111010: 01101011 : 6B:153 > opcode: mov l,e
++    1403:00000101 01111011: 00100110 : 26:046 > opcode: mvi h,000H
++    1404:00000101 01111100: 00000000 : 00:000 > immediate:  000H : 0
++    1405:00000101 01111101: 01110111 : 77:167 > opcode: mov m,a
++    1406:00000101 01111110: 00011100 : 1C:034 > opcode: inr e
++    1407:00000101 01111111: 11000010 : C2:302 > opcode: jnz GLXSET
++    1408:00000101 10000000: 01110001 : 71:161 > lb: 113
++    1409:00000101 10000001: 00000101 : 05:005 > hb: 5
++    1410:00000101 10000010: 01010100 : 54:124 > opcode: mov d,h
++    1411:00000101 10000011: 01001100 : 4C:114 > opcode: mov c,h
++    1412:00000101 10000100: 00101110 : 2E:056 > opcode: mvi l,0C0H
++    1413:00000101 10000101: 11000000 : C0:300 > immediate:  0C0H : 192
++    1414:00000101 10000110: 01111110 : 7E:176 > opcode: mov a,m
++    1415:00000101 10000111: 11100110 : E6:346 > opcode: ani STNMSK
++    1416:00000101 10001000: 00001000 : 08:010 > immediate:  STNMSK : 8
++    1417:00000101 10001001: 10000010 : 82:202 > opcode: add d
++    1418:00000101 10001010: 01010111 : 57:127 > opcode: mov d,a
++    1419:00000101 10001011: 01111110 : 7E:176 > opcode: mov a,m
++    1420:00000101 10001100: 11100110 : E6:346 > opcode: ani ALNMSK
++    1421:00000101 10001101: 00110000 : 30:060 > immediate:  ALNMSK : 48
++    1422:00000101 10001110: 00001111 : 0F:017 > opcode: rrc
++    1423:00000101 10001111: 00001111 : 0F:017 > opcode: rrc
++    1424:00000101 10010000: 10000001 : 81:201 > opcode: add c
++    1425:00000101 10010001: 01001111 : 4F:117 > opcode: mov c,a
++    1426:00000101 10010010: 00101100 : 2C:054 > opcode: inr l
++    1427:00000101 10010011: 11000010 : C2:302 > opcode: jnz GLXCK1
++    1428:00000101 10010100: 10000110 : 86:206 > lb: 134
++    1429:00000101 10010101: 00000101 : 05:005 > hb: 5
++    1430:00000101 10010110: 01111010 : 7A:172 > opcode: mov a,d
++    1431:00000101 10010111: 00001111 : 0F:017 > opcode: rrc
++    1432:00000101 10011000: 00001111 : 0F:017 > opcode: rrc
++    1433:00000101 10011001: 00001111 : 0F:017 > opcode: rrc
++    1434:00000101 10011010: 01010111 : 57:127 > opcode: mov d,a
++    1435:00000101 10011011: 11111110 : FE:376 > opcode: cpi 7
++    1436:00000101 10011100: 00000111 : 07:007 > immediate:  7 : 7
++    1437:00000101 10011101: 11010010 : D2:322 > opcode: jnc SSPLS
++    1438:00000101 10011110: 00000000 : 00:000 > lb: 0
++    1439:00000101 10011111: 00001011 : 0B:013 > hb: 11
++    1440:00000101 10100000: 11111110 : FE:376 > opcode: cpi 2
++    1441:00000101 10100001: 00000010 : 02:002 > immediate:  2 : 2
++    1442:00000101 10100010: 11011010 : DA:332 > opcode: jc SSMNS
++    1443:00000101 10100011: 00000101 : 05:005 > lb: 5
++    1444:00000101 10100100: 00001011 : 0B:013 > hb: 11
++    1445:00000101 10100101: 01111001 : 79:171 > opcode: mov a,c
++    1446:00000101 10100110: 00001111 : 0F:017 > opcode: rrc
++    1447:00000101 10100111: 00001111 : 0F:017 > opcode: rrc
++    1448:00000101 10101000: 01001111 : 4F:117 > opcode: mov c,a
++    1449:00000101 10101001: 00111010 : 3A:072 > opcode: lda ASHIPSH
++    1450:00000101 10101010: 10101001 : A9:251 > lb: 169
++    1451:00000101 10101011: 00010100 : 14:024 > hb: 20
++    1452:00000101 10101100: 10111001 : B9:271 > opcode: cmp c
++    1453:00000101 10101101: 01111001 : 79:171 > opcode: mov a,c
++    1454:00000101 10101110: 11011010 : DA:332 > opcode: jc ASPLS
++    1455:00000101 10101111: 00001010 : 0A:012 > lb: 10
++    1456:00000101 10110000: 00001011 : 0B:013 > hb: 11
++    1457:00000101 10110001: 00111010 : 3A:072 > opcode: lda ASHIPSL
++    1458:00000101 10110010: 10101010 : AA:252 > lb: 170
++    1459:00000101 10110011: 00010100 : 14:024 > hb: 20
++    1460:00000101 10110100: 10111001 : B9:271 > opcode: cmp c
++    1461:00000101 10110101: 01111001 : 79:171 > opcode: mov a,c
++    1462:00000101 10110110: 11010010 : D2:322 > opcode: jnc ASMNS
++    1463:00000101 10110111: 00011000 : 18:030 > lb: 24
++    1464:00000101 10111000: 00001011 : 0B:013 > hb: 11
++    1465:00000101 10111001: 00101110 : 2E:056 > opcode: mvi l,05BH
++    1466:00000101 10111010: 01011011 : 5B:133 > immediate:  05BH : 91
++    1467:00000101 10111011: 01110010 : 72:162 > opcode: mov m,d
++    1468:00000101 10111100: 00101100 : 2C:054 > opcode: inr l
++    1469:00000101 10111101: 01110001 : 71:161 > opcode: mov m,c
++    1470:00000101 10111110: 01111001 : 79:171 > opcode: mov a,c
++    1471:00000101 10111111: 11000110 : C6:306 > opcode: adi 005
++    1472:00000101 11000000: 00000101 : 05:005 > immediate:  005 : 005
++    1473:00000101 11000001: 00101100 : 2C:054 > opcode: inr l
++    1474:00000101 11000010: 01110111 : 77:167 > opcode: mov m,a
++    1475:00000101 11000011: 00000110 : 06:006 > opcode: mvi b,1
++    1476:00000101 11000100: 00000001 : 01:001 > immediate:  1 : 1
++    1477:00000101 11000101: 11001101 : CD:315 > opcode: call BINDEC
++    1478:00000101 11000110: 00110011 : 33:063 > lb: 51
++    1479:00000101 11000111: 00001011 : 0B:013 > hb: 11
++    1480:00000101 11001000: 00010001 : 11:021 > opcode: lxi d,GSMSGD
++    1481:00000101 11001001: 11010001 : D1:321 > lb: 209
++    1482:00000101 11001010: 00010001 : 11:021 > hb: 17
++    1483:00000101 11001011: 00000110 : 06:006 > opcode: mvi b,2
++    1484:00000101 11001100: 00000010 : 02:002 > immediate:  2 : 2
++    1485:00000101 11001101: 11001101 : CD:315 > opcode: call DIGPRT
++    1486:00000101 11001110: 00100110 : 26:046 > lb: 38
++    1487:00000101 11001111: 00001011 : 0B:013 > hb: 11
++    1488:00000101 11010000: 00100001 : 21:041 > opcode: lxi h,005CH
++    1489:00000101 11010001: 01011100 : 5C:134 > lb: 92
++    1490:00000101 11010010: 00000000 : 00:000 > hb: 0
++    1491:00000101 11010011: 00000110 : 06:006 > opcode: mvi b,001
++    1492:00000101 11010100: 00000001 : 01:001 > immediate:  001 : 001
++    1493:00000101 11010101: 11001101 : CD:315 > opcode: call BINDEC
++    1494:00000101 11010110: 00110011 : 33:063 > lb: 51
++    1495:00000101 11010111: 00001011 : 0B:013 > hb: 11
++    1496:00000101 11011000: 00010001 : 11:021 > opcode: lxi d,GSMSGS
++    1497:00000101 11011001: 10111110 : BE:276 > lb: 190
++    1498:00000101 11011010: 00010001 : 11:021 > hb: 17
++    1499:00000101 11011011: 00000110 : 06:006 > opcode: mvi b,2
++    1500:00000101 11011100: 00000010 : 02:002 > immediate:  2 : 2
++    1501:00000101 11011101: 11001101 : CD:315 > opcode: call DIGPRT
++    1502:00000101 11011110: 00100110 : 26:046 > lb: 38
++    1503:00000101 11011111: 00001011 : 0B:013 > hb: 11
++    1504:00000101 11100000: 00100001 : 21:041 > opcode: lxi h,005BH
++    1505:00000101 11100001: 01011011 : 5B:133 > lb: 91
++    1506:00000101 11100010: 00000000 : 00:000 > hb: 0
++    1507:00000101 11100011: 01111110 : 7E:176 > opcode: mov a,m
++    1508:00000101 11100100: 11110110 : F6:366 > opcode: ori 0B0H
++    1509:00000101 11100101: 10110000 : B0:260 > immediate:  0B0H : 176
++    1510:00000101 11100110: 00100001 : 21:041 > opcode: lxi h,GSMSGT
++    1511:00000101 11100111: 00000100 : 04:004 > lb: 4
++    1512:00000101 11101000: 00010010 : 12:022 > hb: 18
++    1513:00000101 11101001: 01110111 : 77:167 > opcode: mov m,a
++    1514:00000101 11101010: 00100001 : 21:041 > opcode: lxi h,GSMSG
++    1515:00000101 11101011: 10101000 : A8:250 > lb: 168
++    1516:00000101 11101100: 00010001 : 11:021 > hb: 17
++    1517:00000101 11101101: 11001101 : CD:315 > opcode: call MSG
++    1518:00000101 11101110: 11101000 : E8:350 > lb: 232
++    1519:00000101 11101111: 00001010 : 0A:012 > hb: 10
++    1520:00000101 11110000: 11001101 : CD:315 > opcode: call RN
++    1521:00000101 11110001: 11110010 : F2:362 > lb: 242
++    1522:00000101 11110010: 00001010 : 0A:012 > hb: 10
++    1523:00000101 11110011: 11100110 : E6:346 > opcode: ani 03FH
++    1524:00000101 11110100: 00111111 : 3F:077 > immediate:  03FH : 63
++    1525:00000101 11110101: 00101110 : 2E:056 > opcode: mvi l,059H
++    1526:00000101 11110110: 01011001 : 59:131 > immediate:  059H : 89
++    1527:00000101 11110111: 01110111 : 77:167 > opcode: mov m,a
++    1528:00000101 11111000: 11001101 : CD:315 > opcode: call QCNT
++    1529:00000101 11111001: 11001100 : CC:314 > lb: 204
++    1530:00000101 11111010: 00001101 : 0D:015 > hb: 13
++    1531:00000101 11111011: 11001101 : CD:315 > opcode: call LOAD
++    1532:00000101 11111100: 01111010 : 7A:172 > lb: 122
++    1533:00000101 11111101: 00001011 : 0B:013 > hb: 11
++    1534:00000101 11111110: 11001101 : CD:315 > opcode: call NWQD
++    1535:00000101 11111111: 10010001 : 91:221 > lb: 145
++    1536:00000110 00000000: 00001100 : 0C:014 > hb: 12
++    1537:00000110 00000001: 00001110 : 0E:016 > opcode: mvi c,1
++    1538:00000110 00000010: 00000001 : 01:001 > immediate:  1 : 1
++    1539:00000110 00000011: 00011110 : 1E:036 > opcode: mvi e,043H
++    1540:00000110 00000100: 01000011 : 43:103 > immediate:  043H : 67
++    1541:00000110 00000101: 11001101 : CD:315 > opcode: call LOCSET
++    1542:00000110 00000110: 10001111 : 8F:217 > lb: 143
++    1543:00000110 00000111: 00001011 : 0B:013 > hb: 11
++    1544:00000110 00001000: 00100001 : 21:041 > opcode: lxi h,MSG123
++    1545:00000110 00001001: 01110000 : 70:160 > lb: 112
++    1546:00000110 00001010: 00000001 : 01:001 > hb: 1
++    1547:00000110 00001011: 11001101 : CD:315 > opcode: call MSG
++    1548:00000110 00001100: 11101000 : E8:350 > lb: 232
++    1549:00000110 00001101: 00001010 : 0A:012 > hb: 10
++    1550:00000110 00001110: 00001110 : 0E:016 > opcode: mvi c,1
++    1551:00000110 00001111: 00000001 : 01:001 > immediate:  1 : 1
++    1552:00000110 00010000: 11001101 : CD:315 > opcode: call ROWSET
++    1553:00000110 00010001: 10100011 : A3:243 > lb: 163
++    1554:00000110 00010010: 00001011 : 0B:013 > hb: 11
++    1555:00000110 00010011: 00100001 : 21:041 > opcode: lxi h,005DH
++    1556:00000110 00010100: 01011101 : 5D:135 > lb: 93
++    1557:00000110 00010101: 00000000 : 00:000 > hb: 0
++    1558:00000110 00010110: 00111110 : 3E:076 > opcode: mvi a,032H
++    1559:00000110 00010111: 00110010 : 32:062 > immediate:  032H : 50
++    1560:00000110 00011000: 10010110 : 96:226 > opcode: sub m
++    1561:00000110 00011001: 00101100 : 2C:054 > opcode: inr l
++    1562:00000110 00011010: 01110111 : 77:167 > opcode: mov m,a
++    1563:00000110 00011011: 00000110 : 06:006 > opcode: mvi b,1
++    1564:00000110 00011100: 00000001 : 01:001 > immediate:  1 : 1
++    1565:00000110 00011101: 11001101 : CD:315 > opcode: call BINDEC
++    1566:00000110 00011110: 00110011 : 33:063 > lb: 51
++    1567:00000110 00011111: 00001011 : 0B:013 > hb: 11
++    1568:00000110 00100000: 00010001 : 11:021 > opcode: lxi d,MSGSDP
++    1569:00000110 00100001: 10110110 : B6:266 > lb: 182
++    1570:00000110 00100010: 00000001 : 01:001 > hb: 1
++    1571:00000110 00100011: 00000110 : 06:006 > opcode: mvi b,2
++    1572:00000110 00100100: 00000010 : 02:002 > immediate:  2 : 2
++    1573:00000110 00100101: 11001101 : CD:315 > opcode: call DIGPRT
++    1574:00000110 00100110: 00100110 : 26:046 > lb: 38
++    1575:00000110 00100111: 00001011 : 0B:013 > hb: 11
++    1576:00000110 00101000: 00100001 : 21:041 > opcode: lxi h,MSGSTDT3
++    1577:00000110 00101001: 10101000 : A8:250 > lb: 168
++    1578:00000110 00101010: 00000001 : 01:001 > hb: 1
++    1579:00000110 00101011: 11001101 : CD:315 > opcode: call MSG
++    1580:00000110 00101100: 11101000 : E8:350 > lb: 232
++    1581:00000110 00101101: 00001010 : 0A:012 > hb: 10
++    1582:00000110 00101110: 00001110 : 0E:016 > opcode: mvi c,2
